Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
deleteAllCookies,Firefox 58.0,,2018-03-07 13:51:24,2018-03-07 13:51:24,"0,003s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:51:24,2018-03-07 13:51:25,"1,032s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:25,2018-03-07 13:51:30,"5,000s",PASSED
setText,Firefox 58.0,,2018-03-07 13:51:30,2018-03-07 13:51:31,"0,101s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:31,2018-03-07 13:51:33,"2,001s",PASSED
submit,Firefox 58.0,,2018-03-07 13:51:33,2018-03-07 13:51:33,"0,051s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:33,2018-03-07 13:51:35,"2,000s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Filialsuche_loc_distance), 5)",Firefox 58.0,,2018-03-07 13:51:35,2018-03-07 13:51:35,"0,022s",PASSED
"Statement - For ([i = 1, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-07 13:51:35,2018-03-07 13:51:35,"0,244s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/16_Testfall,Firefox 58.0,"Es wird gepr\u00FCft, ob Entfernung in km angezeigt wird",2018-03-07 13:51:35,2018-03-07 13:51:49,"14,286s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:51:35,2018-03-07 13:51:38,"2,969s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:51:38,2018-03-07 13:51:38,"0,029s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:51:38,2018-03-07 13:51:38,"0,012s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:51:38,2018-03-07 13:51:40,"1,801s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:40,2018-03-07 13:51:45,"5,000s",PASSED
setText,Firefox 58.0,,2018-03-07 13:51:45,2018-03-07 13:51:45,"0,042s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:45,2018-03-07 13:51:47,"2,000s",PASSED
submit,Firefox 58.0,,2018-03-07 13:51:47,2018-03-07 13:51:47,"0,022s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:47,2018-03-07 13:51:49,"2,000s",PASSED
verifyElementVisible,Firefox 58.0,,2018-03-07 13:51:49,2018-03-07 13:51:49,"0,063s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:51:49,2018-03-07 13:51:49,"0,278s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/17_Testfall,Firefox 58.0,Akkordeons und Paginierung beim Klick funktionieren richtig. Es werden noch Stra\u00DFen und Hausnummern mit Prototyp verglichen.,2018-03-07 13:51:49,2018-03-07 13:54:50,"3m - 0,334s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:51:49,2018-03-07 13:51:52,"3,043s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:51:52,2018-03-07 13:51:52,"0,006s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:51:52,2018-03-07 13:51:52,"0,036s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:51:52,2018-03-07 13:51:53,"0,975s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:53,2018-03-07 13:51:55,"2,000s",PASSED
waitForPageLoad,Firefox 58.0,,2018-03-07 13:51:55,2018-03-07 13:51:55,"0,041s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:55,2018-03-07 13:51:57,"2,000s",PASSED
click,Firefox 58.0,,2018-03-07 13:51:57,2018-03-07 13:51:58,"0,287s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:58,2018-03-07 13:52:00,"2,001s",PASSED
mouseOver,Firefox 58.0,,2018-03-07 13:52:00,2018-03-07 13:52:00,"0,162s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:00,2018-03-07 13:52:02,"2,000s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:02,2018-03-07 13:52:02,"0,256s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:02,2018-03-07 13:52:07,"5,001s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:07,2018-03-07 13:52:07,"0,303s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:07,2018-03-07 13:52:09,"2,002s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:09,2018-03-07 13:52:12,"2,442s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:12,2018-03-07 13:52:15,"2,818s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:15,2018-03-07 13:52:15,"0,277s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:15,2018-03-07 13:52:17,"2,002s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:17,2018-03-07 13:52:19,"2,367s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:19,2018-03-07 13:52:22,"2,337s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:22,2018-03-07 13:52:22,"0,289s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:22,2018-03-07 13:52:24,"2,000s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:24,2018-03-07 13:52:26,"2,438s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:26,2018-03-07 13:52:29,"2,343s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:29,2018-03-07 13:52:29,"0,275s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:29,2018-03-07 13:52:31,"2,001s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:31,2018-03-07 13:52:33,"2,410s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:33,2018-03-07 13:52:36,"2,622s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:36,2018-03-07 13:52:36,"0,276s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:36,2018-03-07 13:52:38,"2,001s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:38,2018-03-07 13:52:41,"2,411s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:41,2018-03-07 13:52:43,"2,392s",PASSED
scrollToElement,Firefox 58.0,,2018-03-07 13:52:43,2018-03-07 13:52:43,"0,032s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:43,2018-03-07 13:52:44,"0,268s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:44,2018-03-07 13:52:46,"2,001s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:46,2018-03-07 13:52:48,"2,327s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:48,2018-03-07 13:52:50,"2,301s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:50,2018-03-07 13:52:50,"0,270s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:50,2018-03-07 13:52:51,"0,269s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:51,2018-03-07 13:52:53,"2,002s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:53,2018-03-07 13:52:55,"2,323s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:52:55,2018-03-07 13:52:57,"2,295s",PASSED
click,Firefox 58.0,,2018-03-07 13:52:57,2018-03-07 13:52:58,"0,285s",PASSED
delay,Firefox 58.0,,2018-03-07 13:52:58,2018-03-07 13:53:00,"2,001s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:53:00,2018-03-07 13:53:02,"2,417s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:53:02,2018-03-07 13:53:05,"2,639s",PASSED
click,Firefox 58.0,,2018-03-07 13:53:05,2018-03-07 13:53:05,"0,269s",PASSED
delay,Firefox 58.0,,2018-03-07 13:53:05,2018-03-07 13:53:07,"2,001s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:53:07,2018-03-07 13:53:09,"2,335s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:53:09,2018-03-07 13:53:12,"2,307s",PASSED
click,Firefox 58.0,,2018-03-07 13:53:12,2018-03-07 13:53:12,"0,277s",PASSED
delay,Firefox 58.0,,2018-03-07 13:53:12,2018-03-07 13:53:14,"2,000s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:53:14,2018-03-07 13:53:16,"2,310s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:53:16,2018-03-07 13:53:18,"2,281s",PASSED
click,Firefox 58.0,,2018-03-07 13:53:18,2018-03-07 13:53:19,"0,277s",PASSED
delay,Firefox 58.0,,2018-03-07 13:53:19,2018-03-07 13:53:21,"2,000s",PASSED
verifyTextPresent,Firefox 58.0,,2018-03-07 13:53:21,2018-03-07 13:53:23,"2,404s",PASSED
